Site,715,N_scars,Length,Proximal_width,Medial_width,Distal_width,Thickness_at_medial,Platform_width,Platform_thickness,raw_material,raw_mat_simplified,Chert,Igneous,Other,Quartzite,N,E,Min,Mid,Max,Type,Prop_RT_Core,Count_RT_Core,Elongation,Convergence,PlatformArea,DorsalSA_TwoTrapezoids,Dorsal scar pattern,Region
1017,18,7,39.07,16.64,18.31,11.88,3.48,14.22,4.9,chert,Chert,1,0,0,0,21.4736,31.04935,65,68,70,0,0.51627907,215,2.133806663,1.54,69.678,636.25495,Bidirectional,Africa
A5,878,4,25.02,13.32,18.77,23.75,5.95,10.4,5.63,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.332978157,0.79,58.552,466.68555,Bidirectional,Africa
A5,3170,4,34.32,21.53,26.77,20.02,5.3,16.78,5.72,chert,Chert,1,0,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.282032126,1.34,95.9816,815.8722,Bidirectional,Africa
A5,4492,7,33.13,20.27,19.22,11.48,4.94,7.96,2.93,basalt,Igneous,0,1,0,0,10.41667,40.51667,70,75,80,0,0.4,40,1.723725286,1.67,23.3228,581.348675,Bidirectional,Africa
ALM-3,100,4,61.37,27.13,36.17,28.46,9.48,25.18,6.05,ferruginous quartzite,Quartzite,0,0,0,1,27.73277778,40.48472222,50,54,58,0,0,24,1.696709981,1.27,152.339,1962.766025,Bidirectional,Arabia
ALM-3,136,5,69.01,40.81,37.77,15.36,10.61,39.09,12.91,ferruginous quartzite,Quartzite,0,0,0,1,27.73277778,40.48472222,50,54,58,0,0,24,1.827111464,2.46,504.6519,2272.326775,Bidirectional,Arabia
ANW-3,2,6,32.49,25.67,26.97,17.34,4.97,21.84,4.75,chert,Chert,1,0,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.204671858,1.56,103.74,787.476375,Bidirectional,Africa
ANW-3,41,7,48.96,37.01,40.3,24.19,7.66,36.1,9.25,fine igneous,Igneous,0,1,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.214888337,1.67,333.925,1735.632,Bidirectional,Africa
ANW-3,41,5,29.69,22.9,25.33,20.25,3.83,20.39,6.62,chert,Chert,1,0,0,0,21.56213,31.05615,60,63,65,0,0.35915493,710,1.172127912,1.25,134.9818,696.304725,Bidirectional,Africa
BNS,11,13,36.11,18.31,28.44,14.97,8.71,17.04,8.7,chert,Chert,1,0,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.269690577,1.9,148.248,813.9194,Bidirectional,Africa
BNS,166,3,24.08,14.77,23.35,14.07,5.36,17.46,5.96,fine igneous,Igneous,0,1,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.031263383,1.66,104.0616,454.7508,Bidirectional,Africa
BNS,454,6,30.53,22.22,30.04,17.91,9.34,20.96,9.87,chert,Chert,1,0,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.016311585,1.68,206.8752,764.852825,Bidirectional,Africa
BNS,1172,7,42.8,33.33,39.83,33.03,10.59,31.92,8.5,chert,Chert,1,0,0,0,4.8003,35.9666,104,105,106,0,0.204081633,49,1.074566909,1.21,271.32,1562.414,Bidirectional,Africa
JSM-1,79,5,32.52,15.05,18.61,15.35,4.41,10.98,1.78,argilaceous quartzite,Quartzite,0,0,0,1,27.97692724,40.92311408,66,75,84,0,0.109589041,73,1.747447609,1.21,19.5444,549.7506,Bidirectional,Arabia
JSM-1,773,6,41.08,17.53,25.4,19.26,8.25,14.62,2.54,argilaceous quartzite,Quartzite,0,0,0,1,27.97692724,40.92311408,66,75,84,0,0.109589041,73,1.617322835,1.32,37.1348,899.5493,Bidirectional,Arabia
JSM-1,988,4,25.6,20.07,20.36,17.48,5.95,18.78,3.22,argilaceous quartzite,Quartzite,0,0,0,1,27.97692724,40.92311408,66,75,84,0,0.109589041,73,1.257367387,1.16,60.4716,500.928,Bidirectional,Arabia
Kebara X,55,5,65.31,28.54,26.84,17.97,5.05,21.5,3.67,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.433308495,1.49,78.905,1635.852225,Bidirectional,Levant
Kebara X,174,5,39.22,33.62,36.36,4.2,4.79,26.07,5.16,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.078657866,8.66,134.5212,1083.8447,Bidirectional,Levant
Kebara X,277,6,60.72,30.1,27.29,1.9,8.37,20.9,7.21,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.224990839,14.36,150.689,1314.2844,Bidirectional,Levant
Kebara X,287,3,37.38,17.74,18.75,6.71,2.62,17.08,4.48,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.9936,2.79,76.5184,578.92275,Bidirectional,Levant
Kebara X,370,6,51.12,32.91,25.59,10.3,5.76,26.12,3.48,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.997655334,2.48,90.8976,1206.3042,Bidirectional,Levant
Kebara X,452,5,39.91,27.8,30.89,4.1,6.71,24.78,3.69,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.292003885,7.53,91.4382,934.6922,Bidirectional,Levant
Kebara X,463,8,85.75,44.1,33.2,2.1,6.04,31.15,5.03,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.582831325,15.81,156.6845,2413.8625,Bidirectional,Levant
Kebara X,465,3,47.87,12.83,17.51,6.9,6.73,6.33,4.62,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,2.733866362,2.54,29.2446,655.220625,Bidirectional,Levant
Kebara X,468,4,50.98,15.45,15.29,2.6,6.12,12.23,4.06,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,3.334205363,5.88,49.6538,619.78935,Bidirectional,Levant
Kebara X,553,6,64.89,24.88,39.07,4.8,8.56,22.17,5.64,chert,Chert,1,0,0,0,34.93,32.56,60,63,65,1,0.269662921,534,1.660865114,8.14,125.0388,1749.10995,Bidirectional,Levant
Ksar Akil 28A,1849,5,62.49,28.73,34.31,26.23,5.13,27.19,6.31,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.821334888,1.31,171.5689,1930.62855,Bidirectional,Levant
Ksar Akil 28A,1890,6,69.59,28.27,32.64,26.71,7.33,16.89,7.18,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.132046569,1.22,121.2702,2092.22335,Bidirectional,Levant
Ksar Akil 28A,2265,7,80.44,28.61,37.33,10.19,8.45,12.49,5.37,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,2.154835253,3.66,67.0713,2281.6806,Bidirectional,Levant
Ksar Akil 28A,2507,8,73.54,33.01,55.08,35.33,11.55,22.03,12.12,chert,Chert,1,0,0,0,34.376,35.903,55,63,70,1,0.642276423,123,1.335148874,1.56,267.0036,3281.7225,Bidirectional,Levant
MDF-61,1260,6,50.22,26.99,36.49,29.29,5.71,24.65,11.6,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,1.376267471,1.25,285.94,1622.8593,Bidirectional,Arabia
MDF-61,1280,6,48.38,47.56,56.65,51.29,12.6,40.2,14.18,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,0.854015887,1.1,570.036,2565.95425,Bidirectional,Arabia
MDF-61,1503,5,62.09,34.33,45.56,29.73,8.82,27.19,9.45,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,1.362818262,1.53,256.9455,2408.78155,Bidirectional,Arabia
MDF-61,1554,6,32.49,31.61,41.89,42.43,5.14,27.99,6.5,chert,Chert,1,0,0,0,18.55,45.3,80,85,90,0,0.377990431,209,0.775602769,0.99,181.935,1281.89295,Bidirectional,Arabia
Qafzeh XIX,47,3,35.06,22.86,23.21,10.39,4.72,3.45,1.67,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,1.510555795,2.23,5.7615,698.30755,Bidirectional,Levant
Qafzeh XIX,284,5,53.1,23.51,26.22,7.71,6.07,15.81,3.73,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,2.025171625,3.4,58.9713,1110.5865,Bidirectional,Levant
Qafzeh XIX,731,4,53.42,20.53,24.48,6.34,5.35,6.74,4.15,chert,Chert,1,0,0,0,32.69957266,35.28457137,90,95,100,1,0.651685393,89,2.182189542,3.86,27.971,1012.70965,Bidirectional,Levant
